SMILES,ID,mNaCT pIC50
C=CCNc1nc(N2CCOCC2)c(C#N)c2CCN(Cc3ccccc3)Cc12,1,4.69897000433602
CC(C)Oc1ccc(CN2CCc3c(C2)c(NCCO)nc(Cl)c3C#N)cc1,2,6.35848514510307
CC(C)Oc1ccc(CN2CCc3c(C2)c(NCCO)nc(Cl)c3C#N)cc1F,3,5.97808312814392
CC(CO)Nc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,4,4.80027909742751
CC(COCC(F)(F)F)Nc1ccc(C#N)c(Cl)n1,5,4.69897000433602
CC(COCC(F)(F)F)Nc1ccc(Cl)c(n1)C#N,6,4.39794000867204
CC(O)CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,7,4.69897000433602
CCN(C)c1ccc(CN2CCc3c(C2)c(NCCOC)nc(Cl)c3C#N)c(C)c1,8,7.1620970861016
CCOc1ncncc1Nc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,9,4.69897000433602
CN(C)CCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,10,4.69897000433602
CN(C)CCNc1nc(NCc2ccccc2)c(C#N)c2CCN(Cc3ccccc3)Cc12,11,4.69897000433602
CN(C)c1nc(NCC=C)c2CN(Cc3ccccc3)CCc2c1C#N,12,4.72650768536963
CN(CC=C)c1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,13,4.69897000433602
CN1C(C(CC1=O)Nc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12)c1cccnc1,14,4.69897000433602
CN1CCc2c(C1)c(NCC=C)nc(N1CCCCC1)c2C#N,15,4.69897000433602
CN1CCc2c(C1)c(NCCc1ccccc1)nc1[nH]nc(N)c21,16,4.69897000433602
CNC(=O)C1CCCN1C(=O)CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,17,4.69897000433602
CNC(=O)N1CCc2c(C1)c(NCCOC)nc(Cl)c2C#N,18,4.69897000433602
CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,19,4.69897000433602
COC(=O)Nc1cccc(Nc2nc(Cl)c(C#N)c3CCN(Cc4ccccc4)Cc23)c1,20,4.71619571704744
COCC(=O)Nc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,21,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(CC(=O)NC(C)C)Cc12,22,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(CC(=O)NC3CCCCC3)Cc12,23,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(CC3CC3)Cc12,24,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(CC3CCOCC3)Cc12,25,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(CCc3ccccc3)Cc12,26,5.74457182407249
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)CCC(Cl)(Cl)Cl,27,4.77734037500525
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)COc1ccccc1,28,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)NCC(F)(F)F,29,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)Nc1ccccc1,30,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OC1CCCC1,31,5.0376951928579
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OCC(C)(C)C,32,5.16325756984519
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OCC(C)C,33,4.93535973267442
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OCC(Cl)(Cl)Cl,34,5.56519360957731
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OCC(F)(F)F,35,5.61219899216334
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OCC(F)F,36,4.72694746793614
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OCCC(F)(F)F,37,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)OCc1ccccc1,38,5.36147339849238
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)Oc1ccccc1,39,4.7878519563016
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(=O)c1ccccc1,40,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(C#N)c1ccccc1,41,6.74909526808904
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(C(N)=O)c1ccccc1,42,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(C)c1ccc(C#N)c(F)c1,43,6.338978385474
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(C)c1ccc(cc1)C#N,44,6.24622537871223
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(C)c1ccccc1,45,5.52609005962684
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(CO)c1ccccc1,46,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)C(N)=O,47,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)S(=O)(=O)c1ccc(cc1)C#N,48,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc12)S(=O)(=O)c1ccccc1,49,5.55494213419046
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3c(C)cc(OC)cc3OC)Cc12,50,6.75223066837016
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3c(C)cccc3OC)Cc12,51,6.90308875735488
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3c(F)cc(cc3F)C#N)Cc12,52,6.86289033672974
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3c(F)cccc3F)Cc12,53,6.6662287054212
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(C)no3)Cc12,54,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(F)c(C#N)c(F)c3)Cc12,55,6.11192614062082
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(F)cc(F)c3)Cc12,56,6.62732495147407
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(F)cc(F)c3O)Cc12,57,5.89302279741794
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(F)ccc3F)Cc12,58,6.41078594203784
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(O)c(O)c(c3)[N+]([O-])=O)Cc12,59,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(cs3)C#N)Cc12,60,5.66374603302425
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc4cc(Cl)ccc4[nH]3)Cc12,61,5.78375519455386
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc4cc(F)ccc4n3C)Cc12,62,6.84864992492743
